"id","user_id","department","designation","phone","address","joining_date","profile_picture"
32,42,"Administration","Administrative Executive","9264109919","Pune, Maharashtra","2024-02-05",NULL
33,43,"Operations","Operations Analyst","9100614068","Pune, Maharashtra","2025-05-11",NULL
34,44,"Engineering","Software Developer","9489747629","Pune, Maharashtra","2023-09-22",NULL
35,45,"Sales","Business Development Executive","9184564737","Pune, Maharashtra","2022-06-25",NULL
36,46,"Administration","Administrative Executive","9916690353","Pune, Maharashtra","2024-12-26",NULL
37,47,"Sales","Business Development Executive","9610330567","Pune, Maharashtra","2025-01-30",NULL
38,48,"Operations","Operations Analyst","9554340903","Pune, Maharashtra","2023-03-10",NULL
39,49,"IT Support","System Administrator","9528414718","Pune, Maharashtra","2025-10-07",NULL
40,50,"Marketing","Marketing Manager","9584779555","Pune, Maharashtra","2022-09-05",NULL
41,51,"Engineering","Frontend Developer","9122585366","Pune, Maharashtra","2025-04-19",NULL
42,52,"Operations","Operations Executive","9107721109","Pune, Maharashtra","2022-05-26",NULL
43,53,"Sales","Sales Executive","9133729406","Pune, Maharashtra","2023-11-08",NULL
44,54,"Sales","Sales Manager","9818309417","Pune, Maharashtra","2024-09-21",NULL
45,55,"Sales","Business Development Executive","9713152854","Pune, Maharashtra","2025-03-26",NULL
46,56,"Administration","Office Administrator","9967043303","Pune, Maharashtra","2024-04-13",NULL
47,57,"Engineering","Full Stack Developer","9480424119","Pune, Maharashtra","2024-05-17",NULL
48,58,"Administration","Administrative Executive","9823019672","Pune, Maharashtra","2025-08-31",NULL
49,59,"Engineering","Full Stack Developer","9881913386","Pune, Maharashtra","2023-11-26",NULL
50,60,"Sales","Sales Executive","9675832441","Pune, Maharashtra","2024-07-07",NULL
51,61,"Sales","Sales Manager","9596743109","Pune, Maharashtra","2023-05-27",NULL
52,62,"Administration","Administrative Executive","9154318806","Pune, Maharashtra","2025-08-28",NULL
53,63,"Engineering","Backend Developer","9278575192","Pune, Maharashtra","2024-04-12",NULL
54,64,"Sales","Sales Manager","9162959284","Pune, Maharashtra","2022-12-04",NULL
55,65,"Marketing","Digital Marketing Specialist","9941889393","Pune, Maharashtra","2026-05-27",NULL
56,66,"Marketing","Marketing Manager","9884374109","Pune, Maharashtra","2026-05-24",NULL
57,67,"Sales","Sales Executive","9418587604","Pune, Maharashtra","2023-03-22",NULL
58,68,"IT Support","IT Support Engineer","9903132646","Pune, Maharashtra","2023-10-05",NULL
59,69,"Operations","Operations Manager","9639931481","Pune, Maharashtra","2024-12-23",NULL
60,70,"Operations","Operations Executive","9299528037","Pune, Maharashtra","2022-05-21",NULL
61,71,"IT Support","IT Support Engineer","9533550699","Pune, Maharashtra","2022-09-03",NULL
62,72,"Operations","Operations Analyst","9142672287","Pune, Maharashtra","2025-06-22",NULL
63,73,"IT Support","System Administrator","9379995032","Pune, Maharashtra","2023-02-23",NULL
64,74,"Sales","Sales Manager","9524971817","Pune, Maharashtra","2022-09-26",NULL
65,75,"Marketing","Digital Marketing Specialist","9907308348","Pune, Maharashtra","2022-05-29",NULL
66,76,"Operations","Operations Analyst","9207354053","Pune, Maharashtra","2022-05-31",NULL
67,77,"Operations","Operations Manager","9242224154","Pune, Maharashtra","2023-12-16",NULL
68,78,"Finance","Financial Analyst","9269379374","Pune, Maharashtra","2024-06-16",NULL
69,79,"Operations","Operations Analyst","9667945747","Pune, Maharashtra","2022-01-17",NULL
70,80,"Finance","Finance Executive","9211225158","Pune, Maharashtra","2022-10-03",NULL
71,81,"Engineering","QA Engineer","9266910922","Pune, Maharashtra","2023-07-12",NULL
72,82,"Sales","Business Development Executive","9468164906","Pune, Maharashtra","2023-02-21",NULL
73,83,"Operations","Operations Manager","9369639388","Pune, Maharashtra","2022-04-15",NULL
74,84,"Administration","Office Administrator","9147337803","Pune, Maharashtra","2022-01-08",NULL
75,85,"IT Support","System Administrator","9273497327","Pune, Maharashtra","2026-02-27",NULL
76,86,"IT Support","System Administrator","9702269164","Pune, Maharashtra","2022-01-20",NULL
77,87,"IT Support","IT Support Engineer","9685823118","Pune, Maharashtra","2022-03-15",NULL
78,88,"Operations","Operations Executive","9561479973","Pune, Maharashtra","2022-09-19",NULL
79,89,"Finance","Accountant","9484194737","Pune, Maharashtra","2023-03-07",NULL
80,90,"IT Support","IT Support Engineer","9479759538","Pune, Maharashtra","2026-05-17",NULL
81,91,"Operations","Operations Analyst","9265950383","Pune, Maharashtra","2023-04-30",NULL
82,92,"Marketing","Marketing Executive","9292587044","Pune, Maharashtra","2026-02-17",NULL
83,93,"Administration","Administrative Executive","9386480450","Pune, Maharashtra","2022-11-23",NULL
84,94,"Marketing","Marketing Executive","9605399561","Pune, Maharashtra","2023-04-01",NULL
85,95,"Finance","Financial Analyst","9981044229","Pune, Maharashtra","2026-06-17",NULL
86,96,"Engineering","Backend Developer","9527849588","Pune, Maharashtra","2023-11-04",NULL
87,97,"Administration","Office Administrator","9477040284","Pune, Maharashtra","2025-08-06",NULL
88,98,"IT Support","System Administrator","9129635852","Pune, Maharashtra","2022-08-25",NULL
89,99,"Operations","Operations Manager","9141078352","Pune, Maharashtra","2022-08-11",NULL
90,100,"Finance","Finance Executive","9944420824","Pune, Maharashtra","2023-10-05",NULL
